duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
130,0,1,0,0,0,0,0
70,0,0,0,0,0,0,1
190,0,1,0,0,0,0,0
21,0,0,0,0,0,0,1
370,0,1,0,0,0,0,0
110,0,0,0,0,0,0,1
101,0,1,0,0,0,0,0
310,0,0,0,0,0,0,1
81,1,0,0,0,0,0,0
1352,0,0,0,0,0,0,1
341,0,1,0,0,0,0,0
350,0,0,0,0,0,0,1
301,0,1,0,0,0,0,0
40,0,0,0,0,0,0,1
1102,0,1,0,0,0,0,0
110,0,0,0,0,0,0,1
361,0,1,0,0,0,0,0
30,0,0,0,0,0,0,1
150,0,1,0,0,0,0,0
171,0,0,0,0,0,0,1
70,0,0,0,0,0,1,0
1553,0,0,0,0,0,0,1
350,0,1,0,0,0,0,0
1313,0,0,0,0,0,0,1
70,0,1,0,0,0,0,0
30,0,0,0,0,0,0,1
691,1,0,0,0,0,0,0
