duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
250,0,0,0,0,0,1,0
2194,0,0,0,0,1,0,0
952,0,0,0,0,0,1,0
430,0,0,0,0,1,0,0
662,0,0,0,0,0,1,0
4849,0,0,0,0,1,0,0
2154,0,0,0,0,0,1,0
410,0,0,0,0,1,0,0
1903,0,0,0,0,0,1,0
471,0,0,0,0,1,0,0
1052,0,0,0,0,0,1,0
2625,0,0,0,0,1,0,0
130,0,0,0,0,0,1,0
641,0,0,0,0,1,0,0
541,0,0,0,0,0,1,0
3998,0,0,0,0,0,0,1
1012,0,0,0,0,1,0,0
591,0,0,0,0,0,1,0
451,0,0,0,0,1,0,0
862,0,0,0,0,0,1,0
2865,0,0,0,0,1,0,0
190,0,0,0,0,0,1,0
431,0,0,0,0,1,0,0
501,0,0,0,0,0,1,0
1042,0,0,0,0,0,0,1
1022,0,0,0,0,1,0,0
150,0,0,0,0,0,0,1
821,0,0,0,0,1,0,0
10,0,0,0,0,0,0,1
4448,0,0,0,0,1,0,0
320,0,0,0,0,0,1,0
2274,0,0,0,0,1,0,0
231,0,0,0,0,0,1,0
741,0,0,0,0,1,0,0
2345,0,0,0,0,0,1,0
801,0,0,0,0,0,0,1
1723,0,0,0,0,0,1,0
561,0,0,0,0,0,0,1
961,0,0,0,0,0,1,0
260,0,0,0,0,0,0,1
681,0,0,0,0,0,1,0
1273,0,0,0,0,1,0,0
1212,0,0,0,0,0,1,0
811,0,0,0,0,1,0,0
151,0,0,0,0,0,0,1
1032,0,0,0,0,1,0,0
321,0,0,0,0,0,1,0
1072,0,0,0,0,1,0,0
4187,0,0,0,0,0,1,0
110,0,0,0,0,1,0,0
6172,0,0,0,0,0,0,1
361,0,0,0,0,1,0,0
271,0,0,0,0,0,0,1
170,0,1,0,0,0,0,0
300,0,0,0,0,1,0,0
641,0,0,0,0,0,0,1
1062,0,0,0,0,1,0,0
281,0,0,1,0,0,0,0
60,0,0,0,0,0,0,1
631,0,1,0,0,0,0,0
381,0,0,0,0,0,1,0
711,0,0,0,0,1,0,0
481,0,0,0,0,0,1,0
1874,0,0,0,0,1,0,0
401,0,0,0,0,0,0,1
781,0,0,0,0,0,1,0
