duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
1303,0,0,0,0,1,0,0
421,0,0,0,0,0,1,0
912,0,0,0,0,0,0,1
1112,0,0,0,0,1,0,0
301,0,0,0,0,0,0,1
491,0,0,0,0,1,0,0
150,0,0,0,0,0,1,0
281,0,0,0,0,1,0,0
220,0,0,0,0,0,1,0
822,0,0,0,0,1,0,0
230,0,0,0,0,0,0,1
231,0,0,0,0,1,0,0
581,0,0,0,0,0,1,0
190,0,0,0,0,0,0,1
101,0,0,0,0,1,0,0
331,0,0,0,0,0,0,1
571,0,0,0,0,0,1,0
440,0,0,0,0,1,0,0
2594,0,0,0,0,0,0,1
902,0,0,0,0,1,0,0
581,0,0,0,0,0,0,1
481,0,0,0,0,1,0,0
371,0,0,0,0,0,0,1
1623,0,0,0,0,1,0,0
291,0,0,0,0,0,0,1
280,0,0,0,0,0,1,0
1984,0,0,0,0,1,0,0
200,0,0,0,0,0,1,0
1172,0,0,0,0,1,0,0
381,0,0,0,0,0,1,0
702,0,0,0,0,0,0,1
80,0,0,0,0,1,0,0
1092,0,0,0,0,0,1,0
601,0,0,0,0,0,0,1
511,0,0,0,0,1,0,0
511,0,0,0,0,0,0,1
60,0,0,0,0,0,1,0
70,0,0,0,0,1,0,0
1573,0,0,0,0,0,0,1
471,0,0,0,0,1,0,0
170,0,0,0,0,0,0,1
962,0,0,0,0,1,0,0
10,0,0,0,0,0,0,1
581,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
1302,0,0,0,0,1,0,0
180,0,0,0,0,0,1,0
80,0,0,0,0,0,0,1
110,0,0,0,0,1,0,0
170,0,0,0,0,0,0,1
641,0,0,0,0,1,0,0
