duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
391,1,0,0,0,0,0,0
201,0,0,0,0,1,0,0
1352,1,0,0,0,0,0,0
1012,0,0,0,0,1,0,0
2104,1,0,0,0,0,0,0
250,0,0,0,0,0,1,0
551,0,0,1,0,0,0,0
1893,1,0,0,0,0,0,0
601,0,0,0,0,1,0,0
1001,1,0,0,0,0,0,0
381,0,0,1,0,0,0,0
401,1,0,0,0,0,0,0
962,0,0,0,0,1,0,0
1122,1,0,0,0,0,0,0
521,0,0,1,0,0,0,0
2674,1,0,0,0,0,0,0
1362,0,0,0,0,1,0,0
281,0,0,0,0,0,1,0
1443,0,1,0,0,0,0,0
1543,0,0,0,0,0,1,0
290,0,0,0,0,1,0,0
1243,1,0,0,0,0,0,0
320,0,1,0,0,0,0,0
872,1,0,0,0,0,0,0
741,0,1,0,0,0,0,0
752,1,0,0,0,0,0,0
561,0,1,0,0,0,0,0
431,0,0,0,0,1,0,0
270,1,0,0,0,0,0,0
300,0,1,0,0,0,0,0
1453,1,0,0,0,0,0,0
611,0,0,1,0,0,0,0
2996,1,0,0,0,0,0,0
210,0,0,0,0,0,1,0
712,0,0,0,0,1,0,0
1953,1,0,0,0,0,0,0
1853,0,0,0,0,1,0,0
1864,1,0,0,0,0,0,0
1483,0,0,0,0,1,0,0
170,0,0,0,0,0,1,0
812,1,0,0,0,0,0,0
501,0,0,0,0,0,1,0
952,1,0,0,0,0,0,0
1152,0,1,0,0,0,0,0
3877,1,0,0,0,0,0,0
681,0,1,0,0,0,0,0
341,1,0,0,0,0,0,0
401,0,0,0,0,1,0,0
551,0,0,1,0,0,0,0
912,1,0,0,0,0,0,0
1743,0,1,0,0,0,0,0
491,0,0,0,0,0,1,0
1112,0,1,0,0,0,0,0
2164,1,0,0,0,0,0,0
