duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
1213,0,0,0,0,1,0,0
150,0,0,0,0,0,0,1
831,0,0,0,0,1,0,0
150,0,0,0,0,0,0,1
1934,0,0,0,0,1,0,0
601,0,0,0,0,0,0,1
681,0,1,0,0,0,0,0
451,0,0,0,0,0,0,1
130,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
741,0,0,0,0,1,0,0
271,0,0,0,0,0,1,0
1954,0,0,0,0,1,0,0
50,0,0,0,0,0,0,1
431,0,0,0,0,1,0,0
100,0,0,0,0,0,0,1
1803,0,0,0,0,1,0,0
601,0,0,0,0,0,0,1
1372,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
2344,0,0,0,0,1,0,0
10,0,0,0,0,0,0,1
2425,0,0,0,0,1,0,0
130,0,0,0,0,0,0,1
230,0,0,0,1,0,0,0
221,0,0,0,0,0,1,0
1343,0,0,0,0,1,0,0
20,0,0,0,0,0,0,1
120,0,1,0,0,0,0,0
1052,0,0,0,0,0,0,1
120,0,1,0,0,0,0,0
30,0,0,0,0,0,0,1
100,0,1,0,0,0,0,0
60,0,0,0,0,0,1,0
2044,0,0,0,0,1,0,0
50,0,0,0,0,0,0,1
1242,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
311,0,0,0,0,1,0,0
451,0,0,0,0,0,0,1
160,0,0,0,1,0,0,0
60,0,0,0,0,0,0,1
301,0,1,0,0,0,0,0
