duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
761,0,0,0,0,0,0,1
160,0,0,0,0,1,0,0
301,0,0,0,0,0,0,1
641,0,0,0,0,1,0,0
121,0,0,0,0,0,0,1
632,0,0,0,0,1,0,0
170,0,0,0,0,0,0,1
231,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1
290,0,1,0,0,0,0,0
901,0,0,0,0,1,0,0
261,0,0,0,0,0,0,1
781,0,0,0,0,1,0,0
832,0,0,0,0,0,0,1
841,0,0,0,0,1,0,0
420,0,1,0,0,0,0,0
571,0,0,0,0,0,0,1
240,0,0,0,0,1,0,0
311,0,0,0,0,0,0,1
952,0,0,0,0,1,0,0
200,0,0,0,0,0,0,1
371,0,0,0,0,1,0,0
341,0,0,0,0,0,1,0
240,0,0,0,0,0,0,1
1092,0,0,0,0,1,0,0
451,0,0,0,0,0,0,1
581,0,0,0,0,1,0,0
341,0,0,0,0,0,1,0
3065,0,0,0,0,0,0,1
632,0,0,0,0,0,1,0
260,0,0,0,0,1,0,0
