duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
281,0,0,0,0,1,0,0
461,0,0,0,0,0,1,0
70,0,0,0,0,1,0,0
110,0,0,0,0,0,0,1
91,0,0,0,0,1,0,0
380,0,0,0,0,0,0,1
821,0,1,0,0,0,0,0
291,0,0,0,0,0,1,0
1713,0,1,0,0,0,0,0
1453,0,0,0,0,0,1,0
200,0,0,0,0,0,0,1
541,0,1,0,0,0,0,0
571,0,0,0,0,0,1,0
741,0,0,0,0,1,0,0
230,0,0,0,0,0,1,0
471,0,0,0,0,1,0,0
521,0,0,0,0,0,1,0
421,0,0,0,0,1,0,0
421,0,0,0,0,0,1,0
410,0,0,0,0,1,0,0
280,0,0,0,0,0,1,0
451,0,1,0,0,0,0,0
1142,0,0,0,0,0,1,0
410,0,0,0,0,1,0,0
430,0,0,0,0,0,1,0
181,0,0,0,0,1,0,0
1362,0,0,0,0,0,1,0
70,0,0,0,0,0,0,1
1021,0,1,0,0,0,0,0
981,0,0,0,0,0,1,0
1733,0,0,0,0,1,0,0
180,0,0,0,0,0,1,0
360,0,1,0,0,0,0,0
2315,0,0,0,0,1,0,0
741,0,0,0,0,0,1,0
551,0,0,0,0,1,0,0
100,0,0,0,0,0,1,0
330,0,1,0,0,0,0,0
601,0,0,0,1,0,0,0
1222,0,0,0,0,0,1,0
1122,0,0,0,0,1,0,0
120,0,0,0,0,0,0,1
400,0,0,0,0,0,1,0
531,0,0,0,0,1,0,0
200,0,0,0,0,0,1,0
401,0,0,0,0,1,0,0
601,0,0,0,0,0,1,0
431,0,0,0,0,0,0,1
131,0,0,0,0,1,0,0
180,0,0,0,0,0,1,0
281,0,0,0,0,1,0,0
90,0,0,0,0,0,1,0
420,0,1,0,0,0,0,0
401,0,0,0,0,0,0,1
3116,0,0,0,0,1,0,0
551,0,0,0,0,0,1,0
1663,0,0,0,0,1,0,0
