duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
401,0,1,0,0,0,0,0
371,0,0,0,0,0,1,0
861,0,1,0,0,0,0,0
330,0,0,0,0,0,1,0
2094,0,1,0,0,0,0,0
1894,0,0,0,0,0,1,0
521,0,1,0,0,0,0,0
732,0,0,0,0,1,0,0
1052,0,1,0,0,0,0,0
601,1,0,0,0,0,0,0
421,0,1,0,0,0,0,0
351,1,0,0,0,0,0,0
430,0,0,0,1,0,0,0
280,0,0,0,0,0,0,1
902,0,0,0,1,0,0,0
100,0,0,0,0,0,0,1
1754,0,0,0,1,0,0,0
480,0,1,0,0,0,0,0
330,0,0,0,1,0,0,0
872,1,0,0,0,0,0,0
361,0,1,0,0,0,0,0
1302,1,0,0,0,0,0,0
281,0,1,0,0,0,0,0
1092,1,0,0,0,0,0,0
130,0,0,0,0,0,0,1
381,0,0,0,1,0,0,0
501,1,0,0,0,0,0,0
782,0,1,0,0,0,0,0
220,0,0,0,0,0,1,0
742,1,0,0,0,0,0,0
471,0,0,0,1,0,0,0
1001,1,0,0,0,0,0,0
250,0,1,0,0,0,0,0
