duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
982,0,0,0,0,0,0,1
180,0,0,1,0,0,0,0
311,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
110,0,0,0,0,1,0,0
221,0,0,0,0,0,0,1
380,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
290,0,0,0,0,1,0,0
170,0,0,0,0,0,1,0
1011,0,0,0,0,0,0,1
431,0,0,0,0,1,0,0
60,0,0,0,0,0,0,1
561,0,0,0,0,1,0,0
60,0,0,0,0,0,0,1
120,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
181,0,0,0,0,1,0,0
90,0,0,0,0,0,0,1
180,0,0,0,0,1,0,0
561,0,0,0,0,0,0,1
1963,0,0,0,0,1,0,0
411,0,0,0,0,0,1,0
20,0,0,0,0,0,0,1
631,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
170,0,0,0,0,1,0,0
301,0,0,0,0,0,1,0
1112,0,0,0,0,1,0,0
60,0,0,0,0,0,0,1
421,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
791,0,0,0,0,1,0,0
1312,0,0,0,0,0,0,1
511,0,0,0,0,1,0,0
862,0,0,0,0,0,0,1
501,0,0,0,0,1,0,0
440,0,0,0,0,0,1,0
901,0,0,0,0,0,0,1
742,0,0,0,0,1,0,0
651,0,0,0,0,0,0,1
