duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
1162,0,0,0,0,0,1,0
2324,0,0,0,0,1,0,0
261,0,0,0,0,0,1,0
330,0,0,0,0,1,0,0
682,0,0,0,0,0,1,0
3907,0,0,0,0,1,0,0
250,0,0,0,0,0,1,0
2194,0,0,0,0,1,0,0
952,0,0,0,0,0,1,0
430,0,0,0,0,1,0,0
662,0,0,0,0,0,1,0
4849,0,0,0,0,1,0,0
2154,0,0,0,0,0,1,0
410,0,0,0,0,1,0,0
1903,0,0,0,0,0,1,0
471,0,0,0,0,1,0,0
1052,0,0,0,0,0,1,0
2625,0,0,0,0,1,0,0
130,0,0,0,0,0,1,0
641,0,0,0,0,1,0,0
541,0,0,0,0,0,1,0
3998,0,0,0,0,0,0,1
1012,0,0,0,0,1,0,0
591,0,0,0,0,0,1,0
451,0,0,0,0,1,0,0
862,0,0,0,0,0,1,0
2865,0,0,0,0,1,0,0
190,0,0,0,0,0,1,0
431,0,0,0,0,1,0,0
501,0,0,0,0,0,1,0
1042,0,0,0,0,0,0,1
1022,0,0,0,0,1,0,0
150,0,0,0,0,0,0,1
821,0,0,0,0,1,0,0
10,0,0,0,0,0,0,1
4448,0,0,0,0,1,0,0
320,0,0,0,0,0,1,0
