duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
0,0,0,0,0,0,0,1
6431,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
3407,0,0,0,0,1,0,0
380,0,0,0,0,0,0,1
60,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
3507,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
8235,0,0,0,0,1,0,0
81,0,0,0,0,0,1,0
40,0,0,0,0,0,0,1
100,0,0,0,0,1,0,0
4568,0,0,0,0,0,0,1
60,0,0,0,0,1,0,0
17793,0,0,0,0,0,0,1
270,0,0,0,0,0,1,0
261,0,0,0,0,1,0,0
130,0,0,0,0,0,0,1
101,0,0,0,0,1,0,0
80,0,0,0,0,0,0,1
250,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
80,0,0,0,0,1,0,0
481,0,0,0,0,0,0,1
541,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
301,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
100,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
100,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
101,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
340,0,0,0,0,1,0,0
140,0,0,0,0,0,0,1
330,0,0,0,0,1,0,0
