duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
1243,0,0,0,0,0,0,1
130,0,1,0,0,0,0,0
952,0,0,1,0,0,0,0
541,0,1,0,0,0,0,0
1152,0,0,0,0,0,0,1
361,0,0,0,1,0,0,0
370,0,0,0,0,0,0,1
721,0,1,0,0,0,0,0
60,0,0,0,0,0,0,1
501,0,1,0,0,0,0,0
691,0,0,0,0,0,0,1
11461,0,0,0,0,1,0,0
221,0,0,0,0,0,1,0
360,0,0,0,0,1,0,0
151,0,0,0,0,0,1,0
982,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
1663,0,0,0,0,1,0,0
1182,0,0,0,0,0,0,1
1262,0,0,0,0,1,0,0
541,0,0,0,0,0,0,1
952,0,0,0,0,1,0,0
521,0,0,0,0,0,1,0
2925,0,0,0,0,1,0,0
631,0,0,0,0,0,1,0
1373,0,0,0,0,1,0,0
2024,0,0,0,0,0,0,1
251,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
551,0,0,0,0,1,0,0
1252,0,0,0,0,0,0,1
5530,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
5109,0,0,0,0,1,0,0
751,0,0,0,0,0,0,1
471,0,0,0,0,1,0,0
10,0,0,0,0,0,0,1
140,0,0,0,0,1,0,0
