duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
1643,0,0,0,0,0,0,1
80,0,0,0,0,1,0,0
101,0,0,0,0,0,0,1
80,0,0,0,0,1,0,0
20,0,0,0,0,0,0,1
200,0,0,0,0,1,0,0
60,0,0,0,0,0,0,1
161,0,0,0,0,1,0,0
701,0,0,0,0,0,0,1
1101,0,0,0,0,1,0,0
321,0,0,0,0,0,0,1
411,0,0,0,0,1,0,0
301,0,0,0,0,0,0,1
1904,0,0,0,0,1,0,0
1032,0,0,0,0,0,0,1
2214,0,0,0,0,1,0,0
320,0,0,0,0,0,1,0
621,0,0,0,0,0,0,1
531,0,0,0,0,1,0,0
1172,0,0,0,0,0,0,1
1303,0,0,0,0,1,0,0
421,0,0,0,0,0,1,0
912,0,0,0,0,0,0,1
1112,0,0,0,0,1,0,0
301,0,0,0,0,0,0,1
491,0,0,0,0,1,0,0
150,0,0,0,0,0,1,0
281,0,0,0,0,1,0,0
220,0,0,0,0,0,1,0
822,0,0,0,0,1,0,0
230,0,0,0,0,0,0,1
231,0,0,0,0,1,0,0
581,0,0,0,0,0,1,0
190,0,0,0,0,0,0,1
101,0,0,0,0,1,0,0
331,0,0,0,0,0,0,1
571,0,0,0,0,0,1,0
440,0,0,0,0,1,0,0
2594,0,0,0,0,0,0,1
902,0,0,0,0,1,0,0
581,0,0,0,0,0,0,1
481,0,0,0,0,1,0,0
371,0,0,0,0,0,0,1
1623,0,0,0,0,1,0,0
291,0,0,0,0,0,0,1
280,0,0,0,0,0,1,0
1984,0,0,0,0,1,0,0
200,0,0,0,0,0,1,0
1172,0,0,0,0,1,0,0
381,0,0,0,0,0,1,0
702,0,0,0,0,0,0,1
80,0,0,0,0,1,0,0
1092,0,0,0,0,0,1,0
601,0,0,0,0,0,0,1
511,0,0,0,0,1,0,0
511,0,0,0,0,0,0,1
60,0,0,0,0,0,1,0
70,0,0,0,0,1,0,0
1573,0,0,0,0,0,0,1
471,0,0,0,0,1,0,0
170,0,0,0,0,0,0,1
962,0,0,0,0,1,0,0
10,0,0,0,0,0,0,1
581,0,0,0,0,1,0,0
30,0,0,0,0,0,0,1
1302,0,0,0,0,1,0,0
180,0,0,0,0,0,1,0
80,0,0,0,0,0,0,1
110,0,0,0,0,1,0,0
170,0,0,0,0,0,0,1
641,0,0,0,0,1,0,0
2805,0,0,0,0,0,0,1
100,0,0,0,0,0,1,0
30,0,0,0,0,0,0,1
2976,0,0,0,0,1,0,0
842,0,0,0,0,0,0,1
351,0,0,0,0,1,0,0
581,0,0,0,0,0,0,1
61,0,0,0,0,1,0,0
241,0,0,0,0,0,0,1
4859,0,0,0,0,1,0,0
571,0,0,0,0,0,1,0
310,0,0,0,0,1,0,0
501,0,0,0,0,0,0,1
241,0,0,0,0,0,1,0
481,0,0,0,0,0,0,1
682,0,0,0,0,1,0,0
481,0,0,0,0,0,0,1
591,0,0,0,0,1,0,0
