duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
120,0,0,0,0,0,0,1
110,1,0,0,0,0,0,0
191,0,0,0,0,0,0,1
310,0,1,0,0,0,0,0
70,0,0,0,0,0,0,1
61,0,1,0,0,0,0,0
2314,0,0,0,0,0,0,1
711,0,1,0,0,0,0,0
30,0,0,0,0,0,0,1
110,0,1,0,0,0,0,0
71,0,0,0,0,0,0,1
150,0,1,0,0,0,0,0
792,0,0,0,0,0,0,1
60,0,0,0,0,1,0,0
330,0,1,0,0,0,0,0
70,0,0,0,0,0,0,1
150,0,1,0,0,0,0,0
641,0,0,0,0,0,0,1
581,0,1,0,0,0,0,0
992,0,0,0,0,0,0,1
110,0,1,0,0,0,0,0
581,0,0,0,0,0,0,1
100,0,0,1,0,0,0,0
1543,0,0,0,0,0,0,1
60,1,0,0,0,0,0,0
180,0,0,0,0,0,0,1
581,0,1,0,0,0,0,0
621,0,0,0,0,0,0,1
151,1,0,0,0,0,0,0
30,0,0,0,0,0,0,1
150,0,1,0,0,0,0,0
70,0,0,0,0,0,0,1
50,0,1,0,0,0,0,0
1022,0,0,0,0,0,0,1
110,1,0,0,0,0,0,0
731,0,0,0,0,0,0,1
461,0,0,0,1,0,0,0
491,0,0,0,0,0,0,1
201,0,1,0,0,0,0,0
130,0,0,0,0,0,0,1
60,1,0,0,0,0,0,0
30,0,0,0,0,0,0,1
50,0,1,0,0,0,0,0
10,0,0,0,0,0,0,1
1834,1,0,0,0,0,0,0
1142,0,0,0,0,0,0,1
90,0,1,0,0,0,0,0
30,0,0,0,0,0,0,1
351,0,1,0,0,0,0,0
30,0,0,0,0,0,0,1
110,0,1,0,0,0,0,0
631,0,0,0,0,0,0,1
151,0,0,0,0,1,0,0
531,0,0,0,0,0,0,1
260,0,1,0,0,0,0,0
70,0,0,0,0,0,0,1
191,0,1,0,0,0,0,0
430,0,0,0,0,0,0,1
110,0,0,0,0,1,0,0
881,0,0,0,0,0,0,1
141,0,1,0,0,0,0,0
5279,0,0,0,0,0,0,1
702,0,1,0,0,0,0,0
310,0,0,0,0,0,0,1
882,0,1,0,0,0,0,0
2054,0,0,0,0,0,0,1
70,0,0,1,0,0,0,0
120,0,1,0,0,0,0,0
401,0,0,0,0,0,0,1
70,0,1,0,0,0,0,0
691,0,0,0,0,0,0,1
451,1,0,0,0,0,0,0
631,0,0,0,0,0,0,1
140,0,0,0,1,0,0,0
9,0,0,0,0,0,0,1
521,0,1,0,0,0,0,0
1332,0,0,0,0,0,0,1
371,0,1,0,0,0,0,0
1372,0,0,0,0,0,0,1
80,0,1,0,0,0,0,0
831,0,0,0,0,0,0,1
120,1,0,0,0,0,0,0
571,0,0,0,0,0,0,1
61,0,0,1,0,0,0,0
1172,0,0,0,0,0,0,1
160,0,0,1,0,0,0,0
822,0,0,0,0,0,0,1
270,1,0,0,0,0,0,0
632,0,0,0,0,0,0,1
110,0,0,0,0,1,0,0
3246,0,0,0,0,0,0,1
100,1,0,0,0,0,0,0
701,0,0,0,0,0,0,1
652,0,1,0,0,0,0,0
471,0,0,0,0,0,0,1
70,0,0,0,0,0,1,0
751,0,0,0,0,0,0,1
131,1,0,0,0,0,0,0
370,0,0,0,0,0,0,1
441,1,0,0,0,0,0,0
782,0,0,0,0,0,0,1
130,0,1,0,0,0,0,0
110,0,0,0,0,0,0,1
371,0,1,0,0,0,0,0
681,0,0,0,0,0,0,1
80,0,1,0,0,0,0,0
2855,0,0,0,0,0,0,1
70,0,1,0,0,0,0,0
2314,0,0,0,0,0,0,1
110,0,0,0,0,0,1,0
6161,0,0,0,0,0,0,1
150,0,0,0,0,0,1,0
792,0,0,0,0,0,0,1
150,0,0,0,0,0,1,0
110,0,0,0,0,0,0,1
50,0,0,0,0,0,1,0
190,0,1,0,0,0,0,0
30,0,0,0,0,0,0,1
301,0,1,0,0,0,0,0
