duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
421,0,1,0,0,0,0,0
351,1,0,0,0,0,0,0
430,0,0,0,1,0,0,0
280,0,0,0,0,0,0,1
902,0,0,0,1,0,0,0
100,0,0,0,0,0,0,1
1754,0,0,0,1,0,0,0
480,0,1,0,0,0,0,0
330,0,0,0,1,0,0,0
872,1,0,0,0,0,0,0
361,0,1,0,0,0,0,0
1302,1,0,0,0,0,0,0
281,0,1,0,0,0,0,0
1092,1,0,0,0,0,0,0
130,0,0,0,0,0,0,1
381,0,0,0,1,0,0,0
501,1,0,0,0,0,0,0
782,0,1,0,0,0,0,0
220,0,0,0,0,0,1,0
742,1,0,0,0,0,0,0
471,0,0,0,1,0,0,0
1001,1,0,0,0,0,0,0
250,0,1,0,0,0,0,0
922,1,0,0,0,0,0,0
591,0,1,0,0,0,0,0
261,0,0,0,0,1,0,0
1102,0,1,0,0,0,0,0
771,1,0,0,0,0,0,0
471,0,0,0,0,1,0,0
861,0,1,0,0,0,0,0
551,0,0,0,0,0,0,1
231,0,0,0,1,0,0,0
50,0,0,0,0,0,0,1
812,1,0,0,0,0,0,0
210,0,1,0,0,0,0,0
471,0,0,0,1,0,0,0
221,0,1,0,0,0,0,0
551,1,0,0,0,0,0,0
220,0,0,0,1,0,0,0
752,1,0,0,0,0,0,0
390,0,1,0,0,0,0,0
541,1,0,0,0,0,0,0
190,0,1,0,0,0,0,0
471,0,0,0,1,0,0,0
471,1,0,0,0,0,0,0
350,0,1,0,0,0,0,0
290,0,0,0,0,0,1,0
1092,0,1,0,0,0,0,0
451,0,0,0,0,0,1,0
181,0,1,0,0,0,0,0
240,1,0,0,0,0,0,0
221,0,0,0,1,0,0,0
260,1,0,0,0,0,0,0
390,0,0,0,1,0,0,0
581,1,0,0,0,0,0,0
410,0,0,0,0,0,0,1
400,1,0,0,0,0,0,0
682,0,0,0,1,0,0,0
410,1,0,0,0,0,0,0
