duration,dwell_alt,dwell_att,dwell_spd,dwell_vsp,dwell_otw,dwell_nos,dwell_oth
190,0,0,0,0,0,0,1
922,0,0,0,0,1,0,0
491,0,0,0,0,0,1,0
581,0,1,0,0,0,0,0
1643,0,0,0,0,0,0,1
80,0,0,0,0,1,0,0
101,0,0,0,0,0,0,1
80,0,0,0,0,1,0,0
20,0,0,0,0,0,0,1
200,0,0,0,0,1,0,0
60,0,0,0,0,0,0,1
161,0,0,0,0,1,0,0
701,0,0,0,0,0,0,1
1101,0,0,0,0,1,0,0
321,0,0,0,0,0,0,1
411,0,0,0,0,1,0,0
301,0,0,0,0,0,0,1
1904,0,0,0,0,1,0,0
1032,0,0,0,0,0,0,1
2214,0,0,0,0,1,0,0
320,0,0,0,0,0,1,0
621,0,0,0,0,0,0,1
531,0,0,0,0,1,0,0
1172,0,0,0,0,0,0,1
1303,0,0,0,0,1,0,0
421,0,0,0,0,0,1,0
912,0,0,0,0,0,0,1
1112,0,0,0,0,1,0,0
301,0,0,0,0,0,0,1
491,0,0,0,0,1,0,0
150,0,0,0,0,0,1,0
281,0,0,0,0,1,0,0
220,0,0,0,0,0,1,0
822,0,0,0,0,1,0,0
230,0,0,0,0,0,0,1
231,0,0,0,0,1,0,0
581,0,0,0,0,0,1,0
190,0,0,0,0,0,0,1
